name,id,parent_id
A,cat0001,
B,cat0002,
C,cat0003,
,,
,,
,,
,,
,,
,,
Introductory prayers,cat0010,cat0001
Named anathemas,cat0011,cat0001
Before rulers and magistrates,cat0012,cat0001
Anti-weapon charms,cat0013,cat0001
Medical charms,cat0014,cat0002
Love charms,cat0015,cat0002
Лечебные,cat0016,cat0006
Защитные/экзорцизм,cat0017,cat0006
Хозяйственно-бытовые,cat0018,cat0006
Любовь и ненависть,cat0019,cat0006
Человек и общество,cat0020,cat0006
Человек и природа,cat0021,cat0006
Гадательные тексты,cat0004,cat0003
Молитвы,cat0005,cat0003
Магические и заклинательные тексты,cat0006,cat0003
Иллюстрации и магические фигуры,cat0007,cat0003
Медицина,cat0008,cat0003
Паратекст,cat0009,cat0003