spell_id,category_id
sp0001,cat0010
sp0002,cat0010
sp0003,cat0010
sp0004,cat0010
sp0005,cat0010
sp0006,cat0010
sp0007,cat0010
sp0008,cat0010
sp0009,cat0010
sp0010,cat0010
sp0011,cat0010
sp0012,cat0010
sp0013,cat0010
sp0014,cat0010
sp0015,cat0011
sp0016,cat0005
sp0017,cat0005
sp0018,cat0005
sp0019,cat0005
sp0020,cat0005
sp0021,cat0005
sp0022,cat0017
sp0023,cat0017
sp0024,cat0017
sp0025,cat0017
sp0026,cat0017
sp0027,cat0017
sp0028,cat0017
sp0029,cat0017
sp0030,cat0017
sp0031,cat0016
sp0032,cat0016
sp0033,cat0018
sp0034,cat0016
sp0035,cat0021
sp0036,cat0004
sp0037,cat0020
sp0038,cat0016
sp0039,cat0020
sp0040,cat0016
sp0041,cat0016
sp0042,cat0016
sp0043,cat0020
sp0044,cat0016
sp0045,cat0016
sp0046,cat0020
sp0047,cat0018
sp0048,cat0020
sp0049,cat0021
sp0050,cat0016
sp0051,cat0017
sp0052,cat0018
sp0053,cat0017
sp0054,cat0017
sp0055,cat0020
sp0056,cat0020
sp0057,cat0020
sp0058,cat0020
sp0059,cat0021
sp0060,cat0017
sp0061,cat0016
sp0062,cat0004
sp0063,cat0016
sp0064,cat0009
sp0065,cat0009
sp0066,cat0020